topology.edgelist/dirs->fn-edges,topology.finder/source-paths->namespaces,1
topology.finder/dirs->sources,clojure.core/->>,1
topology.symbols/zip-nodes,clojure.core/iterate,1
topology.qualifier/filter-fully-qualified,clojure.core/and,1
topology.finder/clojurescript-file?,clojure.core/and,1
topology.finder/find-sources-in-dir,clojure.core/->>,1
topology.symbols/zip-nodes,clojure.core/defn-,1
example/a-test-def,clojure.core/*,1
topology.dependencies/interns,clojure.core/defn-,1
topology.dependencies-test/should-compute-fn-calls-in-namespace,clojure.core/let,1
topology.dependencies/ns->fn-dep-map,topology.dependencies/sources,1
leiningen.topology/topology,topology.printer/print-weighted-edges,1
topology.edgelist/ns->edgelist,topology.edgelist/interleave-keys,1
leiningen.topology/topology,clojure.core/conj,2
topology.edgelist/dirs->fn-edges,clojure.core/mapcat,1
topology.finder/source-paths->namespaces,clojure.core/comp,1
topology.edgelist/ns->edgelist,clojure.core/mapcat,1
topology.qualifier/fq-ns,clojure.core/->,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,clojure.core/defn,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,clojure.test/deftest,1
topology.edgelist-test/should-produce-weighted-edges-for-multiple-calls,clojure.core/meta,1
topology.symbols/seq-map-zip,clojure.core/seq,1
topology.dependencies/sources,clojure.core/second,1
topology.dependencies-test/should-compute-fn-calls-in-namespace,example/test-when,1
topology.printer/print-weighted-edges,clojure.core/defn,1
topology.dependencies/interns,clojure.core/vals,1
leiningen.topology/topology,clojure.core/require,1
example/a-defn-with-a-macro,clojure.core/defn,1
topology.printer/print-weighted-edges,clojure.core/doseq,1
topology.edgelist-test/syntax-quotes-add-seq-concat-list,clojure.core/shuffle,1
topology.finder/dirs->sources,clojure.core/flatten,1
topology.finder/find-sources-in-dir,clojure.core/defn-,1
topology.qualifier/all-fq,topology.qualifier/fq-ns,1
topology.finder/source-paths->namespaces,clojure.core/second,1
topology.dependencies/dependencies,clojure.core/comp,1
topology.finder/source-paths->namespaces,clojure.core/set,1
example/a-test-def,clojure.core/range,1
topology.qualifier/all-fq,clojure.core/partial,1
example/using-syntax-quote,clojure.core/range,1
topology.finder/find-sources-in-dir,clojure.tools.namespace.file/clojure-file?,1
topology.symbols/seq-map-zip,clojure.core/seq?,1
topology.qualifier/filter-fully-qualified,clojure.core/defn,1
topology.edgelist-test/should-report-java-interop,clojure.core/=,1
topology.qualifier/fq-ns,clojure.core/str,2
example/using-syntax-quote,clojure.core/concat,1
topology.qualifier/filter-fully-qualified,clojure.core/reduce,1
topology.edgelist-test/should-report-java-interop,clojure.core/get,1
topology.edgelist/ns->edgelist,clojure.core/defn-,1
topology.finder/find-sources-in-dir,clojure.java.io/file,1
topology.dependencies/sources,clojure.core/vector,1
example/a-test-def,clojure.core/map,1
